state,date,sex,ethnicity,annual_birth,annual_death,population
Johor,01/01/2022,both,overall,48254,25305,4028300
Kedah,01/01/2022,both,overall,30796,17628,2163100
Kelantan,01/01/2022,both,overall,33808,13445,1803600
Melaka,01/01/2022,both,overall,13105,6630,1008600
Negeri Sembilan,01/01/2022,both,overall,15991,8636,1207900
Pahang,01/01/2022,both,overall,23568,11022,1614300
Perak,01/01/2022,both,overall,29543,22341,2514400
Perlis,01/01/2022,both,overall,3746,2422,289800
Pulau Pinang,01/01/2022,both,overall,17731,12920,1740900
Sabah,01/01/2022,both,overall,43617,17395,3414900
Sarawak,01/01/2022,both,overall,30937,16627,2473500
Selangor,01/01/2022,both,overall,83658,32861,7050300
Terengganu,01/01/2022,both,overall,25304,8686,1186600
Kuala Lumpur,01/01/2022,both,overall,19853,9962,1961200
Labuan,01/01/2022,both,overall,1374,392,96900
Putrajaya,01/01/2022,both,overall,1839,253,117000
